FirstImage,SecondImage,NonZeroR,NonZeroG,NonZeroB,Matches0.5,Matches0.6,Matches0.7,Matches0.8,Matches0.9,Matches1.0,Matches
hiphop/Dont,samba/Samba,261670,247968,261997,0,0,2,19,89,368,397
hiphop/Jumped,samba/Blue,252107,237668,253391,0,0,4,20,113,403,430
hiphop/Jumped,samba/Cuban,272497,265975,274196,0,0,1,7,73,386,430
hiphop/Jumped,samba/Elegante,271201,258036,272613,0,0,2,15,111,391,430
hiphop/Jumped,samba/Este,239002,228443,240703,0,1,5,29,104,394,430
hiphop/Jumped,samba/MESCALE,216997,208791,218378,0,1,3,11,50,385,430
hiphop/Jumped,samba/Sambapleasure,269507,261244,271070,0,0,2,21,105,393,430
hiphop/Jumped,samba/Samba,232536,220174,233315,0,0,2,8,70,380,430
hiphop/SWEET,samba/Blue,264340,248522,265029,0,0,3,21,91,352,389
hiphop/SWEET,samba/Cuban,276413,268311,277320,0,0,2,10,66,337,389
hiphop/SWEET,samba/Elegante,275340,260291,276143,0,1,4,11,73,353,389
hiphop/SWEET,samba/Este,251362,238655,252331,0,0,3,21,96,358,389
hiphop/SWEET,samba/MESCALE,240434,231240,241306,0,0,1,11,75,347,389
hiphop/SWEET,samba/Sambapleasure,278049,268256,278924,0,0,3,12,75,344,389
hiphop/SWEET,samba/Samba,244544,231229,244974,0,0,3,14,79,354,389
jazz/A,jazz/Bandoneon,278510,265133,279407,0,0,0,4,46,363,407
jazz/A,jazz/Birdman,279007,263636,279792,0,0,0,4,65,362,407
jazz/A,jazz/Chinese,278504,265062,280002,0,0,1,5,57,351,407
jazz/A,jazz/Colonially,281433,259010,283360,0,0,0,11,73,371,407
jazz/A,jazz/Michael,279414,254170,281405,0,0,0,13,74,369,407
jazz/A,jazz/Nadejda,278038,264042,279213,0,1,3,15,80,368,407
jazz/A,jazz/The,281018,264013,282110,0,1,2,10,96,383,407
jazz/A,jazz/zero-project,278805,262242,281252,0,0,1,6,64,369,407
jazz/Bandoneon,jazz/Birdman,183844,177256,184525,0,0,6,31,115,378,413
jazz/Bandoneon,jazz/Chinese,179053,173082,179749,0,1,2,21,104,377,413
jazz/Bandoneon,jazz/Colonially,228188,220273,229143,0,0,4,17,109,369,413
jazz/Bandoneon,jazz/Michael,227410,217644,228485,0,0,9,30,118,377,413
jazz/Bandoneon,jazz/Nadejda,174678,167220,175329,0,0,5,34,113,380,413
jazz/Bandoneon,jazz/The,195607,187643,196331,0,0,6,21,101,379,413
jazz/Bandoneon,jazz/zero-project,210430,204364,211472,0,0,5,13,85,373,413
jazz/Birdman,jazz/Chinese,198544,191562,198945,0,2,4,19,100,406,442
jazz/Birdman,jazz/Colonially,237446,227454,238362,0,0,7,24,96,399,442
jazz/Birdman,jazz/Michael,232881,220706,233843,0,0,8,40,137,416,442
jazz/Birdman,jazz/Nadejda,192879,185482,193412,0,0,8,25,111,405,442
jazz/Birdman,jazz/The,207879,200128,208565,0,0,4,20,88,412,442
jazz/Birdman,jazz/zero-project,222804,214620,223683,0,0,4,19,91,396,442
jazz/Chinese,jazz/Colonially,230538,221590,232419,0,0,1,15,114,437,468
jazz/Chinese,jazz/Michael,231082,220341,232647,0,0,7,26,141,428,468
jazz/Chinese,jazz/Nadejda,185129,178570,186228,0,1,2,20,104,435,468
jazz/Chinese,jazz/The,211088,204384,211975,0,1,5,19,106,420,468
jazz/Chinese,jazz/zero-project,212548,205331,214809,0,0,1,16,102,423,468
jazz/Colonially,jazz/Michael,249565,232027,251734,0,0,5,30,126,409,442
jazz/Colonially,jazz/Nadejda,230412,221130,231656,0,0,3,24,111,416,442
jazz/Colonially,jazz/The,246061,235735,247372,0,1,6,24,117,398,442
jazz/Colonially,jazz/zero-project,242130,229833,244995,0,2,6,20,101,407,442
jazz/Michael,jazz/Nadejda,229023,218137,230230,0,0,2,20,93,397,434
jazz/Michael,jazz/The,240942,228629,242175,0,0,5,20,87,395,434
jazz/Michael,jazz/zero-project,242980,229616,245506,0,0,3,19,77,395,434
jazz/Nadejda,jazz/The,203067,194776,203773,0,2,8,32,121,370,403
jazz/Nadejda,jazz/zero-project,212492,205424,213902,0,0,7,24,87,373,403
jazz/The,jazz/zero-project,232858,224889,234182,0,0,1,19,87,379,412
jazz/A,pop/Day,287220,272796,288956,0,0,1,7,91,362,407
